,Number of rooms,Area (in m2),Floor,Address,Price in USD,Price in KGS
1,2,62,12,"Бишкек, Магистраль, Магистраль/Сухэ Батора",36000,2942370
2,2,79,5,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",80580,6586005
3,1,47,4,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",47000,3841428
4,1,38,8,"Бишкек, КНУ, К. Акиева/Жумабека",36000,2942370
5,1,42,5,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",36000,2942370
6,3,110,10,"Бишкек, Сквер Тоголок Молдо, Исанова/Чуйкова",155000,12668538
7,3,70,6,"Бишкек, Моссовет, Тыныстанова/Боконбаева",65000,5312613
8,4,218,5,"Бишкек, Ак Кеме, Минжилкиева 117",273000,22312973
9,3,100.2,16,"Бишкек, Верхний Джал м-н/Тыналиева",76000,6211670
0,2,71,10,"Бишкек, Госрегистр",74000,6048205
1,3,91,7,"Бишкек, КНУ, Фрунзе 571/Уметалиева",87000,7110728
2,1,48,5,"Бишкек, Магистраль, Ч. Айтматова/Масалиева",43500,3555364
3,4,152,7,"Бишкек, Дворец спорта, Рыскулова 79б",135000,11033888
4,1,39,3,"Бишкек, Молодая Гвардия, Московская",37500,3064969
5,2,49,8,"Бишкек, VEFA, Кулатова/Элебаева",37500,3064969
6,2,64,2,"Бишкек, Душанбинка, Жаманбаева 8/2/Душанбинская",63000,5149148
7,2,70,8,"Бишкек, Кок-Жар ж/м, ж/м Кок-Жар, ул. Куйручук 20/7",55000,4495288
8,3,58,3,"Бишкек, Аламедин-1 м-н",50000,4086625
9,3,65,8,"Бишкек, Восток-5 м-н",67000,5476078
0,1,51,11,"Бишкек, Магистраль, пр. Ч. Айтматова",46200,3776042
1,3,100,8,"Бишкек, Нижний Токольдош",88000,7192460
2,2,88,10,"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",62480,5106647
3,1,51,3,"Бишкек, Азия Молл",54000,4413555
4,2,88,10,"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",62480,5106647
5,2,60,10,"Бишкек, Кок-Жар м-н, мкр. Кок Жар",47500,3882294
6,1,45.8,5,"Сокулук, Муромская/Кипкалова",27000,2206778
7,2,43,4,"Бишкек, 7 м-н",46000,3759695
8,3,65,5,"Бишкек, 10 м-н",68900,5631369
9,2,73,6,"Бишкек, Баха, Джал-15",62000,5067415
0,2,65,5,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",62725,5126671
1,2,71,10,"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",74000,6048205
2,3,104,9,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",130000,10625225
3,3,90,3,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",127000,10380028
4,1,35,3,"Бишкек, Гагарина, Ул. Циолковского 86/Район 4 гор. больницы",27000,2206778
5,2,63,9,"Бишкек, Ипподром, Гагарина 139/Баха",35000,2860638
6,2,70,10,"Бишкек, Горького/Алматинка",38500,3146701
7,3,103,2,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)/Сухе батора",92700,7576603
8,3,64,1,"Бишкек, 8 м-н/Саманчина",68500,5598676
9,1,37,2,"Бишкек, Тунгуч м-н/Анкара",22000,1798115
0,1,49,9,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",38000,3105835
1,2,36,1,"Бишкек, Кара-Жыгач ж/м, анкара",35000,2860638
2,2,80,8,"Бишкек, Московская - Уметалиева, Боконбаева 202/Уметалиева",88000,7192460
3,3,103,2,"Бишкек, Парк Панфилова/Спартак, Панфилова 190/1",117500,9603569
4,2,54,4,"Бишкек, Средний Джал м-н",49500,4045759
5,4,178,2,"Бишкек, Комфорт, Токтогула/Усенбаева",160000,13077200
6,3,100,3,"Бишкек, Средний Джал м-н, тыналиева",115000,9399238
7,1,58,11,"Бишкек, Дворец спорта, Абдумомунова 244",54000,4413555
8,1,14,5,"Бишкек, Ак Эмир рынок, боконбаева",12500,1021656
9,3,95,9,"Бишкек, Душанбинка, Токтоналиева 54",110000,8990575
0,3,85,6,"Бишкек, Московская - Уметалиева, Боконбаева/Тимирязева",93000,7601123
1,1,49,8,"Бишкек, VEFA, Кулатова/Элебаева",37500,3064969
2,1,55,4,"Бишкек, Магистраль, пр. Ч. Айтматова",45500,3718829
3,3,97,9,"Бишкек, Джал-29 м-н, мкрн Джал-29 16",57000,4658753
4,3,97,9,"Бишкек, Джал-29 м-н, мкрн Джал-29 16",57000,4658753
5,2,70,8,"Бишкек, Сквер Тоголок Молдо, Чуйкова 134",80000,6538600
6,3,130,3,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",114400,9350198
7,3,104,6,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",119600,9775207
8,3,89,4,"Бишкек, Магистраль",63900,5222707
9,3,80,4,"Бишкек, Московская - Уметалиева",64000,5230880
0,3,97.94,12,"Бишкек, VEFA, Кулатова/Элебаева",72475,5923563
1,1,37,8,"Бишкек, Тунгуч м-н, Анкара",37500,3064969
2,2,71,8,"Бишкек, Сквер Тоголок Молдо, Чуйкова 134",80000,6538600
3,3,125,8,"Бишкек, Военторг, Сыдыкова 123",126000,10298295
4,2,86,2,"Бишкек, Джальская больница, Тыналиева 2/7",70800,5786661
5,2,70,7,"Бишкек, Магистраль, просп. Токомбаева/Жукеева-Пудовкина",65000,5312613
6,3,58,2,"Бишкек, Сквер Тоголок Молдо",55000,4495288
7,3,104,6,"Бишкек, Ак Кеме, Минжилкиева 117",145000,11851213
8,3,104,9,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",130000,10625225
9,1,48,5,"Бишкек, Магистраль, Бакаева 197",50000,4086625
0,3,105,11,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",69300,5664062
1,3,83,4,"Бишкек, Кок-Жар ж/м, Шабдан Баатыра/Шоокум",87500,7151594
2,1,38,4,"Бишкек, Аламедин-1 м-н",34000,2778905
3,2,68,2,"Бишкек, Советская - Скрябина, Шабдан Баатыра/Медерова",55000,4495288
4,3,74,2,"Бишкек, Эне-Сай ж/м",49800,4070279
5,1,36,5,"Бишкек, Исакеева/Виноградная",35000,2860638
6,2,58,9,"Бишкек, Аламедин-1 м-н, чуй/ауэзова",47000,3841428
7,3,100,12,"Бишкек, Нижний Токольдош, Кийизбаева 33",80000,6538600
8,1,32,9,"Бишкек, Джал-23 м-н (Нижний Джал), тыналиева",33500,2738039
9,6,более,"кв.,","Бишкек, КНУ, турусбекова/фрунзе",175000,14303188
0,3,111,11,"Бишкек, Парк Панфилова/Спартак, Панфилова 190/1",155000,12668538
1,2,84,6,"Бишкек, Парк Панфилова/Спартак, Панфилова 190/1",86000,7028995
2,3,130,2,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",111800,9137694
3,3,136,4,"Бишкек, Магистраль, пр. Ч. Айтматова",107440,8781340
4,2,65,7,"Бишкек, Магистраль, пр. Ч. Айтматова",52000,4250090
5,3,122,8,"Бишкек, Магистраль, пр. Ч. Айтматова",101260,8276233
6,2,86,10,"Бишкек, Магистраль, пр. Ч. Айтматова",73100,5974646
7,1,41,10,"Бишкек, Джал-29 м-н, Джал-29, ул. Баха 258Б",39500,3228434
8,2,65,12,"Бишкек, Магистраль, просп. Токомбаева/Жукеева-Пудовкина",62000,5067415
9,2,70,3,"Бишкек, Магистраль, Токомбаева 27/4, 27/5",62000,5067415
0,3,100,5,"Бишкек, Джальская больница, Ахунбаева 186",93000,7601123
1,3,62,2,"Бишкек, 10 м-н",65000,5312613
2,1,40,1,"Бишкек, Кок-Жар ж/м, Молдокулова/Медерова",37000,3024103
3,3,89,13,"Бишкек, Парк Панфилова/Спартак, Панфилова 190/1",95000,7764588
4,1,54,6,"Бишкек, Кок-Жар ж/м, Шабдан Баатыра/Шоокум",56000,4577020
5,1,47,10,"Бишкек, Кок-Жар ж/м, Шабдан Баатыра/Шоокум",46000,3759695
6,2,79,12,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",71100,5811181
7,2,55,3,"Бишкек, Комфорт",52000,4250090
8,2,48,2,"Бишкек, Аламедин-1 м-н",40000,3269300
9,3,83,3,"Бишкек, Кок-Жар ж/м, Шабдан Баатыра/Шоокум",88000,7192460
0,4,128,8,"Бишкек, Джал-23 м-н (Нижний Джал), Ахунбаева 198",83200,6800144
1,1,58,7,"Бишкек, Старый аэропорт, Ажыбек Баатыра/Джунусалиева",50000,4086625
2,2,82,10,"Бишкек, Военторг, Сыдыкова/Коенкозова",92000,7519390
3,2,67,13,"Бишкек, КНУ, Уметалиева/Жумабека",41500,3391899
4,1,45,8,"с. Кок-Джар, Алма-Атинская/Южная магистраль",38000,3105835
5,3,93,3,"Бишкек, АУЦА, Асанбай, выше магистрали",46500,3800561
6,1,50,5,"Бишкек, Джальская больница, Ахунбаева 186",55000,4495288
7,2,79,4,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",80580,6586005
8,1,48,3,"Бишкек, Чуй - Алматинка, Чуй/Курманжан Датка",44000,3596230
9,1,48,5,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",45600,3727002
0,3,58,4,"Бишкек, 5 м-н, д 28",56000,4577020
1,1,38,4,"Бишкек, Аламедин-1 м-н",34000,2778905
2,2,68,2,"Бишкек, Советская - Скрябина, Шабдан Баатыра/Медерова",55000,4495288
3,1,58,5,"Бишкек, Старый аэропорт, Ажыбек Баатыра/Джунусалиева",52000,4250090
4,3,100,8,"Бишкек, Парк Панфилова/Спартак, Панфилова 190/1",133000,10870423
5,4,150,10,"Бишкек, Парк Панфилова/Спартак, Панфилова 190/1",150000,12259875
